,Model,Buy_Year,Location,Engine_CC,No_of_Owners,KMs_Run,price,Date_of_posting,Brand
401,YZF R15 S,2015," Bangalore, Karnataka",149,Single Owner,24500,72000,2022-08-24,Yamaha
402,Enfield Bullet 350,1992," Mumbai, Maharashtra",346,Single Owner,27500,135000,2022-07-09,Royal Enfield
403,Avenger Street 220,2017," Thane, Maharashtra",220,Single Owner,10000,70000,2022-08-09,Bajaj
404,Enfield Classic 350 BS VI,2019," Firozabad, Uttar Pradesh",350,Two,10601,149900,2022-08-24,Royal Enfield
405,Intruder 150,2018, Haryana,155,Single Owner,55000,65000,2022-08-24,Suzuki
406,G 310 GS - 40 Years GS Edition,2021," New Delhi, Delhi",313,Single Owner,7000,295000,2022-04-09,BMW
407,RC 200,2016," Pune, Maharashtra",200,Single Owner,228,120000,2022-08-24,KTM
408,MT-15,2020," Bangalore, Karnataka",155,Single Owner,8000,140000,2022-08-24,Yamaha
409,Enfield Interceptor 650 Twin,2019," Trivandrum, Kerala",650,Single Owner,7000,275000,2022-08-24,Royal Enfield
410,Davidson Dyna Fat Bob FXDF,2013," Bangalore, Karnataka",1585,Single Owner,13000,900000,2022-08-24,Harley Davidson
411,Apache RTR 160,2013," Gautam Buddha Nagar, Uttar Pradesh",160,Two,51218,41000,2022-03-09,TVS
412,Intruder 150,2018," Lucknow, Uttar Pradesh",155,Single Owner,48000,69000,2022-04-09,Suzuki
413,Avenger Cruise 220,2015," New Delhi, Delhi",220,Single Owner,31500,40000,2022-04-09,Bajaj
414,CB Unicorn,2015," Pune, Maharashtra",150,Single Owner,29400,58000,2022-04-09,Honda
415,Pulsar 180 DTSi,2014," Chennai, Tamil Nadu",180,Single Owner,32000,40000,2022-04-09,Bajaj
416,Apache RTR 160,2014," Hyderabad, Telangana",160,Single Owner,30000,48000,2022-04-09,TVS
417,Enfield Thunderbird TwinSpark 350,2010," Chennai, Tamil Nadu",346,Single Owner,43000,60000,2022-04-09,Royal Enfield
418,Apache RTR 160,2019," Meerut, Uttar Pradesh",160,Single Owner,11900,90000,2022-04-09,TVS
419,Avenger 220 DTS-i,2015," Ratnagiri, Maharashtra",220,Single Owner,48000,45000,2022-04-09,Bajaj
420,TNT 25,2017," Bangalore, Karnataka",249,Single Owner,27000,130000,2022-04-09,Benelli
421,Discover DTSi 150,2011," Bangalore, Karnataka",144,Single Owner,15236,40000,2022-04-09,Bajaj
423,Enfield Classic 350,2018," Hyderabad, Telangana",346,Single Owner,10000,179000,2022-08-23,Royal Enfield
424,Enfield Thunderbird 350,2017," Dehradun, Utarakhand",346,Single Owner,24000,125000,2022-01-09,Royal Enfield
425,Enfield Classic 350,2016," Chennai, Tamil Nadu",346,Single Owner,49000,90000,2022-08-23,Royal Enfield
426,Pulsar 200 NS ABS,2017," Patna, Bihar",199,Single Owner,11000,65000,2022-08-23,Bajaj
427,Enfield Meteor 350 Supernova,2021, Karnataka,348,Single Owner,2450,225000,2022-08-31,Royal Enfield
428,Pulsar 220F,2016," Kanpur, Uttar Pradesh",220,Single Owner,19150,70000,2022-08-23,Bajaj
429,Enfield Classic 350,2012," Bhopal, Madhya Pradesh",346,Single Owner,27892,85000,2022-08-23,Royal Enfield
430,42 Dual Channel ABS Orion Red,2022," Itanagar, Arunachal Pradesh",293,Single Owner,1022,180000,2022-08-23,Jawa
431,Pulsar RS 200 ABS,2016," Gurgaon, Haryana",200,Single Owner,15794,75000,2022-08-24,Bajaj
432,Enfield Classic 500,2016," Bangalore, Karnataka",500,Single Owner,10000,150000,2022-08-23,Royal Enfield
433,FZ-S FI V3,2019," Hyderabad, Telangana",149,Single Owner,5400,85000,2022-08-23,Yamaha
434,Xtreme 200R,2019," Jharsuguda, Orissa",200,Single Owner,11500,55000,2022-08-23,Hero
435,Enfield Interceptor 650 Twin,2020," Bangalore, Karnataka",650,Single Owner,3800,300000,2022-08-23,Royal Enfield
436,Pulsar 150 Twin Disc,2018," Mahendragarh, Haryana",150,Single Owner,21000,60000,2022-08-23,Bajaj
437,Enfield Himalayan,2018," Chennai, Tamil Nadu",411,Two,12280,150000,2022-08-23,Royal Enfield
438,Ninja 1000SX BS6 2022,2022," Mumbai, Maharashtra",1000,Single Owner,2800,1250000,2022-08-23,Kawasaki
439,Enfield Thunderbird 350,2007," Chennai, Tamil Nadu",346,Single Owner,50000,45000,2022-08-25,Royal Enfield
440,Enfield Himalayan,2022," Hyderabad, Telangana",411,Single Owner,2300,199999,2022-08-23,Royal Enfield
441,Enfield Thunderbird 350,2012," Thane, Maharashtra",346,Single Owner,18200,82500,2022-08-23,Royal Enfield
442,Pulsar 150 Twin Disc BS6,2021," Mandi, Himachal Pradesh",150,Single Owner,6000,105000,2022-04-09,Bajaj
443,forty two,2021," Chennai, Tamil Nadu",299,Single Owner,520,200000,2022-04-09,Jawa
444,Enfield Thunderbird X 350,2019," Ahmednagar, Maharashtra",350,Single Owner,35042,170000,2022-04-09,Royal Enfield
445,Duke 390 BS6,2021," Jammu, Jammu Kashmir",393,Single Owner,4300,290000,2022-04-09,KTM
446,Roadster Dark,2022," Haridwar, Utarakhand",349,Single Owner,1700,224999,2022-03-09,Yezdi
447,RC 390,2016," Howrah, West Bengal",373,Single Owner,13400,120000,2022-03-09,KTM
448,CB Hornet 160R ABS,2019," Purulia, West Bengal",162,Single Owner,6500,81000,2022-03-09,Honda
449,Rajdoot,2000," Kanpur Nagar, Uttar Pradesh",175,Single Owner,30000,70000,2022-03-09,Yamaha
450,Pulsar RS 200 ABS,2020," New Delhi, Delhi",200,Single Owner,9000,130000,2022-03-09,Bajaj
451,Pulsar RS 200,2017," Faridabad, Haryana",200,Single Owner,35000,55000,2022-03-09,Bajaj
452,Apache RR 310,2018," Kolkata, West Bengal",312,Single Owner,5800,170000,2022-08-23,TVS
453,Enfield Continental GT 535,2014," Gurgaon, Haryana",535,Single Owner,13000,168000,2022-08-23,Royal Enfield
454,Enfield Classic Gunmetal Grey,2018," Wadakkancherry, Thrissur, Kerala",346,Single Owner,18600,120000,2022-08-23,Royal Enfield
455,Enfield Bullet Electra,2009," Pondicherry, Pondicherry",346,Single Owner,20000,95000,2022-08-22,Royal Enfield
456,Pulsar 220F,2019," Unnao, Uttar Pradesh",220,Single Owner,20148,110000,2022-08-31,Bajaj
457,Enfield Thunderbird 350,2016," Kolkata, West Bengal",346,Single Owner,25000,95000,2022-08-22,Royal Enfield
458,Enfield Bullet 350 ES BS6,2021," Sivasagar, Assam",350,Single Owner,1300,150000,2022-08-22,Royal Enfield
459,forty two,2020," New Delhi, Delhi",293,Single Owner,12000,155000,2022-08-22,Jawa
460,Enfield Interceptor 650 Twin,2019," Navi Mumbai, Maharashtra",650,Single Owner,12400,275000,2022-08-22,Royal Enfield
461,Apache RTR 160 4V,2018," Karunagappalli, Kollam, Kerala",160,Single Owner,36500,63500,2022-08-23,TVS
462,Avenger 220 DTS-i,2016," Gautam Buddha Nagar, Uttar Pradesh",220,Single Owner,20000,50000,2022-08-22,Bajaj
463,Pulsar AS 150,2015," Bangalore, Karnataka",150,Single Owner,20611,50000,2022-08-24,Bajaj
464,Xpulse 200 4V,2022," Hyderabad, Telangana",200,Single Owner,3500,155000,2022-08-22,Hero
465,G 310 GS BS6,2021," Mumbai, Maharashtra",313,Single Owner,1950,355000,2022-08-22,BMW
466,Avenger 220 DTS-i,2014," Hyderabad, Telangana",220,Single Owner,41957,51000,2022-08-22,Bajaj
467,Enfield Thunderbird 350,2015," Bankura, West Bengal",346,Single Owner,50000,75000,2022-08-22,Royal Enfield
468,FZ-S FI V3 BS6,2020," Chennai, Tamil Nadu",150,Single Owner,25000,80000,2022-08-22,Yamaha
469,Pulsar 150,2015," Hyderabad, Telangana",149,Single Owner,22250,65000,2022-08-22,Bajaj
470,Gixxer SF BS6,2021," Visakhapatnam, Andhra Pradesh",150,Single Owner,1011,125000,2022-08-22,Suzuki
472,Enfield Classic 350 Redditch Blue,2019," Jaipur, Rajasthan",346,Single Owner,32000,140000,2022-03-09,Royal Enfield
473,Enfield Classic Signals Airborne Blue,2021," Dehradun, Utarakhand",350,Single Owner,17000,180000,2022-03-09,Royal Enfield
474,Avenger Cruise 220,2018," Kolkata, West Bengal",220,Single Owner,51000,80000,2022-03-09,Bajaj
475,Apache RTR 180 ABS,2018," Mysore, Karnataka",180,Single Owner,24829,85000,2022-03-09,TVS
476,FZ FI V2,2018," Chennai, Tamil Nadu",149,Single Owner,46000,75000,2022-03-09,Yamaha
477,MT-15 BS6,2020," Kannur, Kerala",155,Single Owner,13700,155000,2022-03-09,Yamaha
478,Enfield Bullet Standard 350,2019," Chennai, Tamil Nadu",346,Single Owner,11000,100000,2022-03-09,Royal Enfield
479,Enfield Classic 350,2016," New Delhi, Delhi",346,Single Owner,34000,110000,2022-03-09,Royal Enfield
480,FZ-S,2015," Darjeeling, West Bengal",153,Single Owner,34000,60000,2022-03-09,Yamaha
481,Duke 390,2017," Dhule, Maharashtra",373,Single Owner,15000,130000,2022-03-09,KTM
482,Apache RTR 160 4V,2019," Nashik, Maharashtra",160,Single Owner,26650,75000,2022-08-22,TVS
484,Achiever,2016," Kolkata, West Bengal",149,Single Owner,36000,45000,2022-08-22,Hero
485,Apache RTR 160 4V,2021," Varanasi, Uttar Pradesh",160,Single Owner,3600,110000,2022-08-22,TVS
486,Enfield Bullet Electra,2018," Thane, Maharashtra",346,Single Owner,43000,120000,2022-08-22,Royal Enfield
487,Apache RTR 180,2011," Pune, Maharashtra",180,Single Owner,22500,45000,2022-08-22,TVS
488,Enfield Bullet Electra Twinspark,2010," Noida, Uttar Pradesh",346,Single Owner,18000,90000,2022-08-22,Royal Enfield
490,Enfield Classic 500,2015," Kondotti, Malappuram, Kerala",499,Two,48760,100000,2022-08-22,Royal Enfield
491,XPulse 200,2021," Navi Mumbai, Maharashtra",200,Single Owner,3960,110000,2022-08-22,Hero
492,Enfield Bullet Electra,2018," New Delhi, Delhi",346,Single Owner,9800,110000,2022-05-09,Royal Enfield
493,Apache RTR 160 4V BS6,2021," Kolkata, West Bengal",160,Single Owner,6500,105000,2022-08-22,TVS
494,Perak BS6,2020," Sri Ganganagar, Rajasthan",350,Single Owner,3900,190000,2022-07-09,Jawa
